title,url,highlight
4日は高速上下とも混雑 最大45km,https://news.yahoo.co.jp/pickup/6537637,"2時間以上動けないところも
　2025年ゴールデンウイークも高速道路で激しい渋滞が予測されており、5月4日は上り・下りともに混雑する日です。NEXCO各社や本四高速が予測している特に長い渋滞（おおむね20km以上）は次の通り。"
首相6日までホテル滞在 気分転換NEW,https://news.yahoo.co.jp/pickup/6537633,石破茂首相は3日午後、公邸から東京都内のホテルに移った。首相周辺によると、大型連休後半は6日までホテルに滞在し、静養する予定だ。趣味の読書などで気分転換を図るとみられる。休み明けには引き続きトランプ米政権の関税政策への対応を迫られるほか、夏の参院選も控えている。
民家に女性遺体 涙止まらないと兄,https://news.yahoo.co.jp/pickup/6537625,「うちの娘で間違いないと警察から連絡があった。ショックです」。川崎市川崎区の住宅で一部白骨化した遺体が見つかった事件。遺体が行方不明となっていた女性（２０）と判明した３日、父親（５１）は声を震わせた。「なんでこんなことに」「早く警察が動いていたら」─。家族や知人は、ストーカー被害に絡む最悪の結末に無念さをにじませた。
二度と盗撮しない 誓った翌月再犯NEW,https://news.yahoo.co.jp/pickup/6537647,二度と女性を盗撮しません―。法廷でこう誓い、2024年9月に執行猶予付き有罪判決を受けた長野県千曲市の会社員の男（23）が判決からわずか1カ月後、再び見ず知らずの女性を盗撮しようとして起訴された。昨秋の判決後、医療機関を受診したり、家族が監督を強めたりしたが犯行を止められなかった。公判や接見取材を通じて背景を探った。
西田昌司氏発言 ひめゆり館長憤り,https://news.yahoo.co.jp/pickup/6537639,神道政治連盟県本部と県神社庁、日本会議県本部でつくる実行委員会は憲法記念日の3日、那覇市内でシンポジウムを開いた。自民党の西田昌司参院議員が講演し、過去に見学した糸満市のひめゆりの塔の展示内容を挙げ「ひどい。歴史の書き換えだ」と述べた。
津軽地方で地鳴りとの声 原因不明NEW,https://news.yahoo.co.jp/pickup/6537646,3日朝、青森県弘前市など津軽地方の広範囲で「すごい地鳴りがした」「なんだ今の地鳴りは」など、地鳴りを体験したとの声が交流サイト（SNS）に多数寄せられた。
「史上最も奇妙」な動き 惑星発見,https://news.yahoo.co.jp/pickup/6537632,映画「スター・ウォーズ」に登場する、二つの「太陽」を持つ架空の惑星「タトゥイーン」。物語の主人公が二つの夕日を見つめ、宇宙への旅立ちを決意するシーンは印象的だ。同様の惑星は実際の宇宙にも僅かだが存在する。その中でも研究者らが「史上最も奇妙」という動きをする惑星の存在が証明された。更に二つの太陽が他に例のない動きをすることに影響しているという。どんなフォース（力）が働いているのか。
再放送でも物議 NHKクルド人特集NEW,https://news.yahoo.co.jp/pickup/6537648,
